Provider,Model,Image Input,Object Generation,Tool Usage,Tool Streaming,Online,Idle,Ofline
xAI Grok,grok-4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-3-fast,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-3-mini,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-3-mini-fast,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-2-1212,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-2-vision-1212,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-beta,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
xAI Grok,grok-vision-beta,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Vercel,v0-1.0-md,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OpenAI,gpt-5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OpenAI,gpt-5-mini,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OpenAI,gpt-5-nano,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OpenAI,gpt-5-chat-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Anthropic,claude-opus-4-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Anthropic,claude-sonnet-4-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Anthropic,claude-3-7-sonnet-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Anthropic,claude-3-5-sonnet-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Anthropic,claude-3-5-haiku-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,pixtral-large-latest,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,mistral-large-latest,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,mistral-medium-latest,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,mistral-medium-2505,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,mistral-small-latest,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Mistral,pixtral-12b-2409,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Gen AI,gemini-2.0-flash-exp,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Gen AI,gemini-1.5-flash,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Gen AI,gemini-1.5-pro,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Vertex,gemini-2.0-flash-exp,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Vertex,gemini-1.5-flash,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Google Vertex,gemini-1.5-pro,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
DeepSeek,deepseek-chat,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
DeepSeek,deepseek-reasoner,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Cerebras,llama3.1-8b,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Cerebras,llama3.1-70b,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Cerebras,llama3.3-70b,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Groq,meta-llama/llama-4-scout-17b-16e-instruct,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Groq,llama-3.3-70b-versatile,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Groq,llama-3.1-8b-instant,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Groq,mixtral-8x7b-32768,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Groq,gemma2-9b-it,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE